"YEAR","CASEID","PERNUM","LINENO","WT06","OCC2_CPS8","IND2_CPS8","IND_CPS8","WRKHOMEABLE"
2018,20180101182007,1,1,9872633.347050000,9999,9999,99999,99
2018,20180101182009,1,1,2957570.016648000,9999,9999,99999,99
2018,20180101182010,1,1,5245896.153899000,180,210,7070,99
2018,20180101182015,1,1,5270975.938751000,9999,9999,99999,99
2018,20180101182020,1,1,2893316.595304000,9999,9999,99999,99
2018,20180101182079,1,1,1602025.278842000,9999,9999,99999,99
2018,20180101182091,1,1,3152342.293492000,9999,9999,99999,99
2018,20180101182102,1,1,8648667.398425000,134,260,8590,99
2018,20180101182105,1,1,4712760.789853000,9999,9999,99999,99
2018,20180101182140,1,1,7584524.435826000,110,120,770,1
2018,20180101182165,1,1,10587001.43864900,121,220,7290,1
2018,20180101182168,1,1,5417541.908264000,140,271,8680,0
2018,20180101182177,1,1,2828858.648314000,9999,9999,99999,99
2018,20180101182183,1,1,19134594.53940600,9999,9999,99999,99
2018,20180101182185,1,1,7025090.316462000,9999,9999,99999,99
2018,20180101182192,1,1,15769690.39870400,150,240,7860,0
2018,20180101182198,1,1,24178438.27301700,110,250,8190,1
2018,20180101182240,1,1,8260227.599228000,121,146,2370,0
2018,20180101182255,1,1,21658745.90876500,150,200,6870,99
2018,20180101182262,1,1,17286849.86922800,140,160,5380,99
2018,20180101182293,1,1,5212578.044469000,140,160,5390,0
2018,20180101182320,1,1,5051304.998432000,200,160,4670,0
2018,20180101182325,1,1,17207733.62503200,9999,9999,99999,99
2018,20180101182327,1,1,6221188.155570000,150,210,7070,0
2018,20180101182331,1,1,5445125.802361000,9999,9999,99999,99
2018,20180101182341,1,1,3544750.867351000,127,251,8180,0
2018,20180101182355,1,1,40822631.70148900,150,220,7270,0
2018,20180101182387,1,1,9891415.526201000,110,9999,3875,0
2018,20180101182392,1,1,14014727.02261500,9999,9999,99999,99
2018,20180101182416,1,1,9728581.589335000,110,231,7780,99
2018,20180101182436,1,1,3354726.161818000,140,120,770,1
2018,20180101182439,1,1,7780096.840208000,110,200,6970,99
2018,20180101182440,1,1,8297200.071204000,120,141,1370,1
2018,20180101182445,1,1,16316604.47028100,126,160,4870,1
2018,20180101182449,1,1,7091960.399367000,9999,9999,99999,99
2018,20180101182464,1,1,1109960.858491000,9999,9999,99999,99
2018,20180101182475,1,1,8294466.365074000,9999,9999,99999,99
2018,20180101182480,1,1,6666629.575192000,9999,9999,99999,99
2018,20180101182486,1,1,1918052.247902000,9999,9999,99999,99
2018,20180101182488,1,1,9568408.591002000,127,220,7480,0
2018,20180101182493,1,1,2603075.823358000,9999,9999,99999,99
2018,20180101182502,1,1,2538046.299830000,120,201,6990,1
2018,20180101182505,1,1,1896198.837319000,190,290,8880,99
2018,20180101182517,1,1,12008378.55259800,150,220,7390,0
2018,20180110170858,1,1,1134581.354122000,127,250,8190,0
2018,20180110171703,1,1,6095747.882610000,9999,9999,99999,99
2018,20180110171942,1,1,5634981.398916000,126,160,5170,1
2018,20180110172107,1,1,5570453.702801000,9999,9999,99999,99
2018,20180111170001,1,1,13350906.78480600,9999,9999,99999,99
2018,20180111170016,1,1,14178565.55792700,120,120,770,99
2018,20180111170019,1,1,5926817.588514000,150,240,7870,0
2018,20180111170047,1,1,4630381.729151000,9999,9999,99999,99
2018,20180111170053,1,1,1489544.596661000,9999,9999,99999,99
2018,20180111170111,1,1,10214431.49928800,121,131,2890,0
2018,20180111170120,1,1,2961056.125483000,200,170,6190,99
2018,20180111170122,1,1,10119492.96007400,124,220,7270,1
2018,20180111170135,1,1,3505820.844002000,9999,9999,99999,99
2018,20180111170502,1,1,7942671.992278000,127,250,8190,0
2018,20180111170503,1,1,7290412.044371000,127,251,8090,99
2018,20180111170512,1,1,19855236.25338800,9999,9999,99999,99
2018,20180111170533,1,1,7410163.038019000,121,132,3080,1
2018,20180111170545,1,1,11434756.59251900,150,145,2290,1
2018,20180111170563,1,1,20981939.01800600,120,145,2170,1
2018,20180111170582,1,1,11561283.41062500,140,260,8590,99
2018,20180111170599,1,1,4297686.168827000,127,240,7870,0
2018,20180111170615,1,1,4478420.038163000,170,120,770,99
2018,20180111170620,1,1,5768470.564505000,132,160,5380,0
2018,20180111170625,1,1,6089824.498664000,127,251,8180,0
2018,20180111170626,1,1,5306893.571813000,140,160,5380,0
2018,20180111170632,1,1,6293158.087212000,9999,9999,99999,99
2018,20180111170653,1,1,7013953.365293000,9999,9999,99999,99
2018,20180111170655,1,1,7843426.783653000,200,132,3190,0
2018,20180111170658,1,1,4734445.747659000,150,170,6370,0
2018,20180111170673,1,1,8431594.869216000,200,160,4690,0
2018,20180111170701,1,1,13272301.92714100,111,300,9570,0
2018,20180111170702,1,1,1970053.580508000,9999,9999,99999,99
2018,20180111170706,1,1,3876096.845596000,9999,9999,99999,99
2018,20180111170708,1,1,9588589.197527000,134,260,8590,99
2018,20180111170710,1,1,7116572.951379000,200,160,5680,0
2018,20180111170711,1,1,19270350.41425700,127,251,8270,0
2018,20180111170721,1,1,5241846.284196000,9999,9999,99999,99
2018,20180111170725,1,1,43566022.66030400,9999,9999,99999,99
2018,20180111170738,1,1,4194755.558910000,150,240,7870,0
